AlGaN,xbarrier,lsg,lg,lgd,Recess,Vth,ss,ss_at,i_on,i_off
0.01,0.10,0.75,1.50,10.00, 1.00,-0.7168295680488399,97.64962487661963,-0.7125,0.023125915031578948,2.0349001078947384e-12
0.01,0.10,0.75,1.50,10.00, 10.00,1.2388719299451283,109.25815803458369,1.1192666999999998,0.007948066931578948,7.191405756481118e-13
0.01,0.10,0.75,1.50,10.00, 3.00,-0.3114155764397494,81.01587405525503,-0.67316782,0.02302563265202414,2.1175073989551817e-12
0.01,0.10,0.75,1.50,10.00, 5.00,0.1686527271069323,104.54864012346249,0.0,0.022827462373819798,4.177032127653113e-12
0.01,0.10,0.75,1.50,10.00, 8.00,0.9046861659426897,114.40213251303864,0.81927492,0.021602670514306532,4.803171235205855e-12
0.01,0.10,0.75,1.50,4.00, 1.00,-0.7746232478599179,98.65553236902358,-0.7125,0.04465325452631579,4.725238771620373e-12
0.01,0.10,0.75,1.50,4.00, 10.00,1.2595111141632842,90.65302926313899,1.3909738,0.008902832131245632,7.983904050054727e-12
0.01,0.10,0.75,1.50,4.00, 3.00,-0.37312619750665993,99.56834481518989,-0.50595482,0.04427846419401842,8.457707124440966e-12
0.01,0.10,0.75,1.50,4.00, 5.00,0.13146437257492272,105.83158186351567,0.021798417,0.04354154058815222,1.3997928186842111e-12
0.01,0.10,0.75,1.50,4.00, 8.00,0.916855532053631,113.21553084477522,1.1691424,0.03914569325539225,4.216639251981789e-12
0.01,0.10,0.75,1.50,7.00, 1.00,-0.7375390160912498,98.05344771613797,-0.7125,0.030478784736842103,1.471021494736842e-12
0.01,0.10,0.75,1.50,7.00, 10.00,1.2435001968589934,100.31369383747459,1.2008303999999999,0.008417655228696592,1.072689297368423e-12
0.01,0.10,0.75,1.50,7.00, 3.00,-0.33306333942392863,98.47860106142049,-0.5305413,0.030304121569613967,1.0413729817850198e-12
0.01,0.10,0.75,1.50,7.00, 5.00,0.15448967371277064,105.86691959012026,0.057021210999999995,0.029959671169042447,-4.565390223684219e-13
0.01,0.10,0.75,1.50,7.00, 8.00,0.905308352265645,113.08265653228695,0.70068188,0.02786075351536099,4.025637434210526e-12
0.01,0.10,0.75,1.80,10.00, 1.00,-0.7022741063042877,97.18511806755602,-0.7125,0.02291643597894737,2.5110841473684204e-12
0.01,0.10,0.75,1.80,10.00, 10.00,1.2508387149609557,106.35469321588391,1.1421661,0.007068521235789473,9.836306276184209e-12
0.01,0.10,0.75,1.80,10.00, 3.00,-0.2946404849068111,99.26042616654323,-0.50738141,0.022797710148540994,7.040830112981169e-12
0.01,0.10,0.75,1.80,10.00, 5.00,0.18447133351751957,103.08525424580431,0.0,0.022564319680040395,1.4483316782021358e-12
0.01,0.10,0.75,1.80,10.00, 8.00,0.9184430276511228,114.42460349028325,0.94560528,0.02114302419055195,6.75388798684207e-13
0.01,0.10,0.75,1.80,4.00, 1.00,-0.7630263082654972,96.58717430646776,-0.87373672,0.043886013200000004,5.235212907660674e-12
0.01,0.10,0.75,1.80,4.00, 10.00,1.2613380550081204,104.78734811101485,1.0127403,0.007836640175298695,2.3089482235478735e-12
0.01,0.10,0.75,1.80,4.00, 3.00,-0.359192553546518,98.94256486810673,-0.50402919,0.04344767541832528,5.8158361900608e-12
0.01,0.10,0.75,1.80,4.00, 5.00,0.15380042976187572,104.72820738457995,0.0,0.0425951579664309,4.743675323201287e-13
0.01,0.10,0.75,1.80,4.00, 8.00,0.9524929652358074,99.30594748871692,1.2663496,0.03763645215891967,1.0203933810526316e-11
0.01,0.10,0.75,1.80,7.00, 1.00,-0.724338963948391,96.99026102708304,-0.73032869,0.030116320947368422,5.9910544532128e-12
0.01,0.10,0.75,1.80,7.00, 10.00,1.257452969647918,104.3552845236539,1.2202545,0.00744221938967221,8.715845692728596e-12
0.01,0.10,0.75,1.80,7.00, 3.00,-0.31867956852529344,99.60928546604787,-0.40055212,0.029910142326402146,1.1255512799055571e-11
0.01,0.10,0.75,1.80,7.00, 5.00,0.16886834775515633,106.28365848602253,0.18491185,0.02950772660142822,6.486998710526316e-12
0.01,0.10,0.75,1.80,7.00, 8.00,0.9330310169631306,112.30973380871359,1.2068931,0.027094793924667054,7.960480252631583e-12
0.01,0.10,0.75,2.00,10.00, 1.00,-0.6968974189280126,96.38645281851066,-0.7125,0.02277875832631579,-1.8545936262424157e-12
0.01,0.10,0.75,2.00,10.00, 10.00,1.265528031749026,103.0748190137968,1.2233813,0.006581571992600475,8.582163714267279e-12
0.01,0.10,0.75,2.00,10.00, 3.00,-0.2880400375859177,98.53063768805954,-0.50806755,0.022647823137638596,4.32770264542299e-12
0.01,0.10,0.75,2.00,10.00, 5.00,0.19070390774262672,102.83802349067643,-0.054615868,0.022392217537755773,6.086185481324868e-12
0.01,0.10,0.75,2.00,10.00, 8.00,0.9273004402772114,113.56190029208089,0.78345966,0.02084594705682247,1.0278184936842109e-11
0.01,0.10,0.75,2.00,4.00, 1.00,-0.7520132764039709,95.96373480502824,-0.75498672,0.043385928473684214,-2.070525715781272e-12
0.01,0.10,0.75,2.00,4.00, 10.00,1.275477567417587,98.14366337779559,1.2485747,0.007243053814274453,2.692202405420803e-12
0.01,0.10,0.75,2.00,4.00, 3.00,-0.34757065623064054,98.49394391801447,-0.49496361,0.04290799050284122,3.960964289637143e-12
0.01,0.10,0.75,2.00,4.00, 5.00,0.15985762459827754,103.26687079953862,0.0,0.041986599892099366,3.6325673641139972e-12
0.01,0.10,0.75,2.00,4.00, 8.00,0.9279279340765042,113.51043573292274,0.90736736,0.03669107016335974,9.358656797186708e-12
0.01,0.10,0.75,2.00,7.00, 1.00,-0.7174702796596744,96.95404747235915,-0.7125,0.0298799968,5.697040421052619e-13
0.01,0.10,0.75,2.00,7.00, 10.00,1.2718335667070901,92.46079811179234,1.3593885,0.006921289668232337,7.631496810526318e-12
0.01,0.10,0.75,2.00,7.00, 3.00,-0.3074508307786532,102.04576882984037,-0.2375,0.02965405258890044,3.983044731578948e-12
0.01,0.10,0.75,2.00,7.00, 5.00,0.17881738583905674,104.72538739052344,0.0,0.029214598692304184,2.7576945802631587e-12
